,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
200,東,木,8,2,east,"トウ、ひがし
tō, higashi"
201,答,竹,12,2,answer,"トウ、こた-える、こた-え
tō, kota-eru, kota-e"
202,頭,頁,16,2,head,"トウ、ズ、（ト）、あたま、かしら
tō, zu, (to), atama, kashira"
203,同,口,6,2,same,"ドウ、おな-じ
dō, ona-ji"
204,道,辵,12,2,road,"ドウ、（トウ）、みち
dō, (tō), michi"
205,読,言,14,2,read,"ドク、トク、（トウ）、よ-む
doku, toku, (tō), yo-mu"
206,内,入,4,2,inside,"ナイ、（ダイ）、うち
nai, (dai), uchi"
207,南,十,9,2,south,"ナン、（ナ）、みなみ
nan, (na), minami"
208,肉,肉,6,2,meat,"ニク
niku"
209,馬,馬,10,2,horse,"バ、うま、（ま）
ba, uma, (ma)"
210,売,貝,7,2,sell,"バイ、う-る、う-れる
bai, u-ru, u-reru"
211,買,貝,12,2,buy,"バイ、か-う
bai, ka-u"
212,麦,麥,7,2,wheat,"バク、むぎ
baku, mugi"
213,半,十,5,2,half,"ハン、なか-ば
han, naka-ba"
214,番,田,12,2,one's turn,"バン
ban"
215,父,父,4,2,father,"フ、ちち
fu, chichi"
216,風,風,9,2,wind,"フウ、（フ）、かぜ、（かざ）
fū, (fu), kaze, (kaza)"
217,分,刀,4,2,"part, minute of time","ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
bun, fun, bu, wa-keru, wa-kareru, wa-karu, wa-katsu"
218,聞,耳,14,2,hear,"ブン、モン、き-く、き-こえる
bun, mon, ki-ku, ki-koeru"
219,米,米,6,2,rice,"ベイ、マイ、こめ
bei, mai, kome"
